id	title	datetime	t0	t1	t2	t3	t4	t5	t6	t7	t8	t9	t10	t11	t12	t13	t14	t15	t16	t17	t18	t19	t20	t21	t22	t23	t24	t25	t26	t27	t28	t29	t30	t31	t32	t33	t34	t35	t36	t37	t38	t39	t40	t41	t42	t43	t44	t45	t46	t47	t48	t49
310	Tesla Gets Burned Again With Hot Metal Spill	11/14/2013 9:14	0	0	0	0	0	0.394736842	0	0	0	0	0	0.105263158	0	0	0	0	0	0.236842105	0	0	0	0	0	0.078947368	0	0	0	0	0.131578947	0	0	0	0	0	0	0.026315789	0	0	0	0	0	0	0	0	0	0	0	0.026315789	0	0
311	Tesla Could Be Planning An F-150 Fighter...Really	11/14/2013 9:10	0	0	0	0	0	0	0	0.197368421	0.065789474	0.039473684	0	0	0	0.157894737	0	0	0	0	0	0	0	0.013157895	0.013157895	0	0	0	0	0	0.052631579	0.026315789	0	0	0	0	0	0	0	0	0	0	0	0	0.118421053	0	0	0	0	0.315789474	0	0
312	Tesla Metal Spill Follows Safety Fine	11/15/2013 9:20	0.016666667	0	0	0.066666667	0	0.416666667	0	0.016666667	0	0	0	0.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0.016666667	0	0	0	0	0.116666667	0	0
313	Tesla Cars Are Not An Environmental Abomination	11/15/2013 12:48	0	0	0	0.04	0	0	0	0.2	0	0	0	0	0	0.4	0	0	0	0	0	0	0.04	0.01	0	0.02	0	0	0	0	0	0	0	0	0	0.13	0	0.04	0	0	0.12	0	0	0	0	0	0	0	0	0	0	0
314	Tesla: When The Concept Becomes Mainstream	11/15/2013 11:40	0	0	0.042857143	0	0	0	0	0.171428571	0	0	0.014285714	0	0	0.185714286	0	0	0	0	0	0	0	0	0	0	0	0.014285714	0	0.014285714	0	0	0.2	0	0	0.1	0	0	0	0	0	0	0	0	0.157142857	0.014285714	0	0	0	0.085714286	0	0
315	Test Driving Tesla: I'm A Believer	11/15/2013 11:33	0	0	0	0	0	0	0	0.043478261	0	0	0	0.173913043	0.130434783	0.195652174	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02173913	0	0	0	0	0	0	0	0.02173913	0	0	0	0	0	0	0.043478261	0.260869565	0	0	0	0.108695652	0	0
316	"Tesla Model S sales in California: 6,554 through September 2013"	11/15/2013 11:20	0	0.040816327	0	0	0	0	0	0.693877551	0	0	0.040816327	0	0	0	0.12244898	0	0	0	0	0	0	0.040816327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.020408163	0	0	0	0.040816327	0	0
318	Unfazed Tesla to Power Through Factory Incident	11/15/2013 10:41	0	0	0	0	0	0.242424242	0	0	0	0	0	0.090909091	0	0	0	0	0	0.363636364	0	0	0	0	0	0	0	0	0	0	0.242424242	0	0	0	0	0	0	0.03030303	0	0	0	0	0	0	0	0	0	0	0	0.03030303	0	0
319	Tesla Motors Inc (TSLA) CEO Slams Media For Unreasonable Coverage	11/15/2013 10:00	0	0	0.072727273	0	0	0	0	0	0	0	0.090909091	0.527272727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054545455	0	0	0	0	0	0	0.163636364	0	0	0	0	0	0	0	0	0	0.036363636	0	0.054545455	0	0
320	Tesla Downgraded to Neutral	11/15/2013 9:30	0	0.596153846	0	0.25	0	0	0	0	0	0	0.019230769	0.019230769	0	0	0	0	0.019230769	0	0.019230769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.076923077	0	0
321	Morgan & Morgan Announces That a Class Action Lawsuit Has Been Filed Against Tesla Motors -- TSLA	11/15/2013 15:00	0	0	0	0	0.087378641	0	0	0	0	0	0	0.242718447	0	0	0	0	0	0	0	0.116504854	0.019417476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009708738	0	0.126213592	0	0	0	0	0	0	0	0.378640777	0.009708738	0.009708738	0	0
322	Can Tesla Motors Continue to Move Higher?	11/15/2013 15:14	0	0	0	0	0	0.025641026	0	0	0	0	0	0.384615385	0	0.025641026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307692308	0	0	0	0	0	0	0.205128205	0	0	0	0	0	0	0.051282051	0	0	0	0	0	0	0
323	3 hurt in Tesla factory hot metal spill in Calif.	11/13/2013 18:01	0	0	0	0	0	0.114285714	0	0	0	0	0	0.6	0	0	0	0	0	0	0	0	0	0.057142857	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.028571429	0	0	0	0	0	0
324	3 injured at Tesla factory in California	11/13/2013 14:03	0	0	0	0	0	0.441176471	0	0	0	0	0	0.058823529	0	0	0	0	0	0.058823529	0	0	0	0	0	0.088235294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.352941176	0
325	TeliaSonera to provide connectivity in Tesla Motors electric vehicles in key Nordic and Baltic markets	11/13/2013 0:45	0	0	0	0	0	0	0	0.132352941	0	0	0	0	0.617647059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205882353	0	0.044117647
326	Tesla CEO: 'Definitely' no recall of the Model S	11/12/2013 15:41	0	0	0	0	0	0	0	0	0	0	0	0.827586207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.034482759	0	0.103448276	0	0	0	0	0	0.034482759	0	0	0	0	0	0
327	Tesla CEO says Model S won't be recalled	11/12/2013 15:00	0	0	0	0	0	0	0	0	0	0	0	0.244444444	0	0	0	0	0	0	0.022222222	0	0	0	0	0.288888889	0.022222222	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.222222222	0
329	Tesla stems bleeding after bad few days	11/8/2013 15:22	0	0	0.106382979	0	0	0	0	0.021276596	0	0	0.021276596	0.70212766	0	0	0	0	0	0	0	0	0	0	0	0	0.085106383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021276596	0	0.042553191
330	Tesla stock stems bleeding after bad few days	11/8/2013 15:19	0	0.297297297	0	0	0	0	0	0	0	0	0	0.081081081	0	0	0	0	0.027027027	0	0	0	0	0.405405405	0	0	0	0	0	0	0.189189189	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
331	Tesla and Sequenom are big market movers	11/8/2013 13:48	0	0.229508197	0	0	0	0	0	0	0.081967213	0	0	0	0	0	0	0	0	0	0.163934426	0	0.098360656	0.098360656	0	0.098360656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147540984	0	0	0.081967213
332	Third fire in Tesla Model S reported	11/7/2013 13:43	0	0	0	0	0	0	0	0	0	0	0	0.655172414	0	0	0	0	0	0	0	0	0.068965517	0	0	0.25862069	0	0	0	0	0	0	0	0	0	0	0	0.017241379	0	0	0	0	0	0	0	0	0	0	0	0	0	0
333	Tesla reports third fire involving Model S electric car	11/7/2013 9:28	0	0	0	0	0	0	0.063829787	0.085106383	0	0	0	0.787234043	0	0	0	0	0	0	0	0	0.042553191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.021276596	0	0	0
334	Tesla reports third fire involving Model S electric car	11/7/2013 6:03	0	0	0.04	0	0	0	0.02	0	0	0	0	0.9	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.02	0	0
335	Tesla electric cars will hit China?s roads around February	11/6/2013 20:54	0	0	0	0	0	0	0	0.450980392	0	0	0	0	0	0	0.058823529	0	0	0	0	0	0	0	0	0	0	0	0	0.37254902	0.078431373	0	0	0	0	0	0	0.039215686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
336	Tesla falls most in 2 years on battery shortage	11/6/2013 15:07	0	0	0	0.157894737	0	0	0	0	0	0	0.223684211	0.013157895	0	0	0	0	0	0	0	0	0	0	0	0.171052632	0	0	0.039473684	0	0.171052632	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118421053	0.105263158	0	0
337	US STOCKS-Wall St to open up on stimulus expectations; Tesla drops	11/6/2013 6:14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.820224719	0	0	0	0	0	0	0	0.011235955	0	0	0	0	0	0.04494382	0	0	0	0	0	0	0	0	0	0	0.011235955	0.112359551	0	0
338	Ahead of the Bell: Tesla shares tumble	11/6/2013 5:24	0	0.111111111	0	0	0	0	0.018518519	0.333333333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.037037037	0	0.018518519	0	0.037037037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148148148	0.296296296	0	0
339	US STOCKS-Futures up on hopes stimulus to continue; Tesla drops	11/6/2013 5:13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847826087	0	0	0	0	0	0	0.02173913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.010869565	0.119565217	0	0
340	Tesla shares drop as 3Q falls short	11/5/2013 15:52	0	0.102564103	0	0	0	0	0	0.025641026	0	0	0.256410256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.025641026	0.025641026	0	0	0	0.282051282	0	0	0	0	0	0	0	0	0	0.051282051	0	0	0	0.230769231	0	0
341	Tesla Motors Releases Third Quarter 2013 Financial Results	11/5/2013 15:14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.113636364	0	0	0	0	0	0	0	0	0	0	0	0.806818182	0	0	0	0	0	0	0	0.079545455	0
342	Tesla skids on disappointing results	11/5/2013 15:02	0	0.145833333	0	0	0	0	0	0.041666667	0	0	0.5	0	0	0.041666667	0	0	0	0	0	0	0	0	0	0.145833333	0	0	0.0625	0	0.020833333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.041666667	0	0
343	Tesla skids on disappointing results	11/5/2013 5:02	0	0.134328358	0	0	0	0	0	0.044776119	0	0	0.134328358	0	0	0.014925373	0	0	0	0	0	0	0	0.089552239	0	0.358208955	0	0	0.014925373	0.044776119	0	0	0	0	0	0	0	0.089552239	0	0	0	0	0	0	0	0	0	0	0.074626866	0	0	0
